mode,n_threads,time_s
serial,1,13.96019196510314941406
serial,1,8.69851112365722656250
serial,1,8.96833300590515136719
parallel,1,9.06199908256530761719
parallel,1,7.86424612998962402344
parallel,1,8.35850906372070312500
parallel,2,4.13837099075317382812
parallel,2,4.06968116760253906250
parallel,2,4.14769315719604492188
parallel,3,3.04717898368835449219
parallel,3,2.95217490196228027344
parallel,3,2.99708199501037597656
parallel,4,2.34097909927368164062
parallel,4,2.31674981117248535156
parallel,4,2.25226807594299316406
parallel,8,3.25942993164062500000
parallel,8,2.36136698722839355469
parallel,8,2.37881398200988769531
